year,province,Abbreviation,micro_cnt,medium_cnt
2020,Anhui ,AH,8,0
2020,Beijing ,BJ,1,0
2020,Fujian ,FJ,8,2
2020,Gansu ,GS,4,0
2020,Guangdong ,GD,15,1
2020,Guangxi Zhuang,GX,1,1
2020,Guizhou ,GZ,2,1
2020,Hainan ,HI,2,0
2020,Hebei ,HE,11,1
2020,Henan ,HA,10,5
2020,Heilongjiang ,HL,0,0
2020,Hubei ,HB,7,1
2020,Hunan ,HN,11,3
2020,Jilin ,JL,2,0
2020,Jiangsu ,JS,9,5
2020,Jiangxi ,JX,7,1
2020,Liaoning ,LN,4,1
2020,Inner Mongolia,NM,2,0
2020,Ningxia,NX,0,1
2020,Qinghai ,QH,1,2
2020,Shandong ,SD,7,3
2020,Shanxi ,SX,2,0
2020,Shaanxi ,SN,15,6
2020,Shanghai ,SH,0,1
2020,Sichuan ,SC,3,1
2020,Tianjin ,TJ,0,0
2020,Tibet,XZ,0,0
2020,Xinjiang,XJ,7,1
2020,Yunnan ,YN,3,4
2020,Zhejiang ,ZJ,5,0
2020,Chongqing ,CQ,0,2
2021,Anhui ,AH,79,22
2021,Beijing ,BJ,2,1
2021,Fujian ,FJ,47,14
2021,Gansu ,GS,18,6
2021,Guangdong ,GD,48,5
2021,Guangxi,GX,22,9
2021,Guizhou ,GZ,20,3
2021,Hainan ,HI,71,7
2021,Hebei ,HE,14,7
2021,Henan ,HA,89,18
2021,Heilongjiang ,HL,5,0
2021,Hubei ,HB,9,1
2021,Hunan ,HN,17,7
2021,Jilin ,JL,21,0
2021,Jiangsu ,JS,50,24
2021,Jiangxi ,JX,23,5
2021,Liaoning ,LN,10,7
2021,Inner Mongolia,NM,7,3
2021,Ningxia,NX,2,1
2021,Qinghai ,QH,20,4
2021,Shandong ,SD,37,10
2021,Shanxi ,SX,7,1
2021,Shaanxi ,SN,90,32
2021,Shanghai ,SH,2,1
2021,Sichuan ,SC,36,3
2021,Tianjin ,TJ,1,0
2021,Tibet,XZ,3,1
2021,Xinjiang,XJ,28,7
2021,Yunnan ,YN,47,15
2021,Zhejiang ,ZJ,19,4
2021,Chongqing ,CQ,20,6
2022,Anhui ,AH,139,139
2022,Beijing ,BJ,16,16
2022,Fujian ,FJ,63,63
2022,Gansu ,GS,44,44
2022,Guangdong ,GD,177,177
2022,Guangxi Zhuang,GX,24,24
2022,Guizhou ,GZ,100,100
2022,Hainan ,HI,137,137
2022,Hebei ,HE,53,53
2022,Henan ,HA,137,137
2022,Heilongjiang ,HL,8,8
2022,Hubei ,HB,73,73
2022,Hunan ,HN,109,109
2022,Jilin ,JL,47,47
2022,Jiangsu ,JS,104,104
2022,Jiangxi ,JX,43,43
2022,Liaoning ,LN,14,14
2022,Inner Mongolia,NM,20,20
2022,Ningxia,NX,9,9
2022,Qinghai ,QH,15,15
2022,Shandong ,SD,89,89
2022,Shanxi ,SX,27,27
2022,Shaanxi ,SN,119,119
2022,Shanghai ,SH,9,9
2022,Sichuan ,SC,39,39
2022,Tianjin ,TJ,3,3
2022,Tibet,XZ,9,9
2022,Xinjiang,XJ,52,52
2022,Yunnan ,YN,118,118
2022,Zhejiang ,ZJ,41,41
2022,Chongqing ,CQ,44,44
2023,Anhui ,AH,159,26
2023,Beijing ,BJ,54,11
2023,Fujian ,FJ,67,29
2023,Gansu ,GS,78,12
2023,Guangdong ,GD,190,38
2023,Guangxi Zhuang,GX,16,12
2023,Guizhou ,GZ,59,16
2023,Hainan ,HI,98,3
2023,Hebei ,HE,225,63
2023,Henan ,HA,80,19
2023,Heilongjiang ,HL,10,2
2023,Hubei ,HB,66,17
2023,Hunan ,HN,101,28
2023,Jilin ,JL,11,4
2023,Jiangsu ,JS,123,30
2023,Jiangxi ,JX,36,9
2023,Liaoning ,LN,12,7
2023,Inner Mongolia,NM,10,3
2023,Ningxia,NX,8,1
2023,Qinghai ,QH,13,3
2023,Shandong ,SD,47,13
2023,Shanxi ,SX,27,9
2023,Shaanxi ,SN,103,33
2023,Shanghai ,SH,4,6
2023,Sichuan ,SC,29,5
2023,Tianjin ,TJ,1,1
2023,Tibet,XZ,4,2
2023,Xinjiang,XJ,37,13
2023,Yunnan ,YN,123,17
2023,Zhejiang ,ZJ,45,12
2023,Chongqing ,CQ,40,8
2024,Anhui ,AH,264,42
2024,Beijing ,BJ,65,10
2024,Fujian ,FJ,148,22
2024,Gansu ,GS,41,10
2024,Guangdong ,GD,261,34
2024,Guangxi Zhuang,GX,127,15
2024,Guizhou ,GZ,47,10
2024,Hainan ,HI,93,6
2024,Hebei ,HE,393,34
2024,Henan ,HA,249,29
2024,Heilongjiang ,HL,34,6
2024,Hubei ,HB,96,20
2024,Hunan ,HN,124,29
2024,Jilin ,JL,43,9
2024,Jiangsu ,JS,167,52
2024,Jiangxi ,JX,48,14
2024,Liaoning ,LN,18,17
2024,Inner Mongolia,NM,27,8
2024,Ningxia,NX,15,5
2024,Qinghai ,QH,18,4
2024,Shandong ,SD,29,23
2024,Shanxi ,SX,32,18
2024,Shaanxi ,SN,52,14
2024,Shanghai ,SH,25,9
2024,Sichuan ,SC,94,13
2024,Tianjin ,TJ,10,7
2024,Tibet,XZ,10,1
2024,Xinjiang,XJ,65,15
